Clinical, ELISA and diversity data	Alpha: Berger-Parker Dominance	Alpha: Chao1 Richness	Alpha: Distinct OTUs	Alpha: Gini–Simpson Index	Alpha: Inverse Simpson Index	Alpha: Shannon Entropy	Alpha: Simpson Index	Beta: Bray-Curtis Distance	Beta: Euclidean Distance	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Myostatin/GDF8	ELISA: Resistin	ELISA: VEGF
Clinical: Total Blood Cholesterol	-0.37142857142857144	0.7142857142857143	0.7142857142857143	-0.5428571428571428	-0.5428571428571428	0.5428571428571428	0.5428571428571428	-0.6571428571428571	-0.7142857142857143	0.753702346348183	0.5976143046671968	0.2571428571428571	0.08571428571428572	0.8285714285714286	0.9710083124552245	-0.4857142857142857	1.0	0.7142857142857143	0.14285714285714285	-0.02857142857142857	0.8285714285714286	0.7714285714285715	0.6761234037828133	-0.2	-0.6546536707079772	0.08571428571428572	-0.2571428571428571
Clinical: Waist Circumference	-0.3142857142857143	0.7714285714285715	0.7714285714285715	-0.37142857142857144	-0.37142857142857144	0.7142857142857143	0.37142857142857144	-0.9428571428571428	-0.7714285714285715	0.20291986247835694	0.47809144373375745	0.6571428571428571	-0.08571428571428572	0.37142857142857144	0.7944613465542745	0.2	0.7142857142857143	1.0	0.7142857142857143	-0.2	0.9428571428571428	0.8857142857142857	0.50709255283711	-0.5428571428571428	-0.3927922024247863	-0.08571428571428572	0.2571428571428571
ELISA: ASPR	-0.37142857142857144	0.3142857142857143	0.3142857142857143	-0.2571428571428571	-0.2571428571428571	0.42857142857142855	0.2571428571428571	-0.5428571428571428	-0.3142857142857143	-0.11595420713048969	0.23904572186687872	0.8285714285714286	-0.2571428571428571	-0.02857142857142857	0.1765469659009499	0.6	0.14285714285714285	0.7142857142857143	1.0	-0.6	0.5428571428571428	0.37142857142857144	0.33806170189140666	-0.7714285714285715	0.13093073414159545	-0.2571428571428571	0.7714285714285715
ELISA: FGF21	0.7714285714285715	-0.08571428571428572	-0.08571428571428572	0.5428571428571428	0.5428571428571428	-0.14285714285714285	-0.5428571428571428	-0.08571428571428572	-0.37142857142857144	-0.23190841426097938	0.11952286093343936	-0.2571428571428571	-0.2571428571428571	-0.2571428571428571	0.08827348295047495	0.02857142857142857	-0.02857142857142857	-0.2	-0.6	1.0	-0.02857142857142857	0.2571428571428571	-0.33806170189140666	0.37142857142857144	0.13093073414159545	0.5428571428571428	-0.37142857142857144
ELISA: HOMA	-0.14285714285714285	0.6571428571428571	0.6571428571428571	-0.2571428571428571	-0.2571428571428571	0.5428571428571428	0.2571428571428571	-0.8857142857142857	-0.8857142857142857	0.34786262139146906	0.7171371656006361	0.6	-0.2571428571428571	0.5428571428571428	0.8827348295047495	0.02857142857142857	0.8285714285714286	0.9428571428571428	0.5428571428571428	-0.02857142857142857	1.0	0.9428571428571428	0.6761234037828133	-0.42857142857142855	-0.3927922024247863	-0.02857142857142857	0.2
ELISA: Insulin	0.02857142857142857	0.7142857142857143	0.7142857142857143	-0.14285714285714285	-0.14285714285714285	0.6	0.14285714285714285	-0.9428571428571428	-0.9428571428571428	0.20291986247835694	0.5976143046671968	0.4857142857142857	-0.2	0.37142857142857144	0.8827348295047495	0.08571428571428572	0.7714285714285715	0.8857142857142857	0.37142857142857144	0.2571428571428571	0.9428571428571428	1.0	0.4394802124588286	-0.3142857142857143	-0.3927922024247863	0.14285714285714285	0.02857142857142857
ELISA: Irisin	-0.16903085094570333	0.10141851056742199	0.10141851056742199	-0.16903085094570333	-0.16903085094570333	-0.06761234037828133	0.16903085094570333	-0.2704493615131253	-0.4394802124588286	0.600245047998781	0.848528137423857	0.33806170189140666	-0.3718678720805473	0.8451542547285166	0.5744562646538028	-0.3718678720805473	0.6761234037828133	0.50709255283711	0.33806170189140666	-0.33806170189140666	0.6761234037828133	0.4394802124588286	1.0	-0.16903085094570333	-0.30983866769659335	-0.3718678720805473	0.2704493615131253
ELISA: Leptin	0.42857142857142855	-0.3142857142857143	-0.3142857142857143	0.4857142857142857	0.4857142857142857	-0.5428571428571428	-0.4857142857142857	0.42857142857142855	0.42857142857142855	-0.17393131069573453	-0.23904572186687872	-0.9428571428571428	0.3142857142857143	0.08571428571428572	-0.1765469659009499	-0.5428571428571428	-0.2	-0.5428571428571428	-0.7714285714285715	0.37142857142857144	-0.42857142857142855	-0.3142857142857143	-0.16903085094570333	1.0	-0.3927922024247863	-0.37142857142857144	-0.6571428571428571
ELISA: Myostatin/GDF8	0.3927922024247863	-0.6546536707079772	-0.6546536707079772	0.3927922024247863	0.3927922024247863	-0.3927922024247863	-0.3927922024247863	0.3927922024247863	0.13093073414159545	-0.3985266984930429	0.0	0.3927922024247863	-0.6546536707079772	-0.6546536707079772	-0.674199862463242	0.6546536707079772	-0.6546536707079772	-0.3927922024247863	0.13093073414159545	0.13093073414159545	-0.3927922024247863	-0.3927922024247863	-0.30983866769659335	-0.3927922024247863	1.0	0.3927922024247863	0.6546536707079772
ELISA: Resistin	0.08571428571428572	0.14285714285714285	0.14285714285714285	-0.2	-0.2	0.3142857142857143	0.2	-0.08571428571428572	-0.37142857142857144	0.20291986247835694	0.0	0.2571428571428571	-0.14285714285714285	-0.2571428571428571	0.08827348295047495	0.14285714285714285	0.08571428571428572	-0.08571428571428572	-0.2571428571428571	0.5428571428571428	-0.02857142857142857	0.14285714285714285	-0.3718678720805473	-0.37142857142857144	0.3927922024247863	1.0	-0.14285714285714285
ELISA: VEGF	0.08571428571428572	-0.3142857142857143	-0.3142857142857143	0.2	0.2	-0.14285714285714285	-0.2	-0.08571428571428572	-0.14285714285714285	-0.28988551782622424	0.35856858280031806	0.7714285714285715	-0.7142857142857143	-0.2571428571428571	-0.26482044885142486	0.7142857142857143	-0.2571428571428571	0.2571428571428571	0.7714285714285715	-0.37142857142857144	0.2	0.02857142857142857	0.2704493615131253	-0.6571428571428571	0.6546536707079772	-0.14285714285714285	1.0
