time,usage,temperature,frequency
15714,0.0,54,2000
15715,1.4,53,2000
15716,0.0,53,2000
15717,1.4,55,2000
15718,1.4,53,2000
15719,0.0,54,2000
15720,0.0,53,2000
15721,4.1,54,2000
15722,0.0,54,2000
15723,1.4,53,2000
15724,1.4,53,2000
15725,1.4,52,2000
15726,0.0,54,2000
15727,1.4,54,2000
15728,0.0,54,2000
15729,1.4,53,2000
15730,1.4,54,2000
15731,1.4,54,2000
15732,1.4,53,2000
15733,0.0,54,2000
15734,0.0,53,2000
15735,2.7,54,2000
15736,1.4,53,2000
15737,1.4,53,2000
15738,1.4,54,2000
15739,0.0,53,2000
15740,1.4,53,2000
15741,1.4,53,2000
15742,0.0,54,2000
15743,0.0,53,2000
15744,0.0,53,2000
15745,1.4,54,2000
15746,0.0,53,2000
15747,2.7,53,2000
15748,0.0,53,2000
15749,1.4,53,2000
15750,0.0,53,2000
15751,0.0,54,2000
15752,0.0,53,2000
15753,0.0,53,2000
15754,0.0,53,2000
15755,1.4,53,2000
15756,1.4,53,2000
15757,0.0,53,2000
15758,2.8,53,2000
15759,1.4,53,2000
15760,1.4,53,2000
15761,0.0,54,2000
15762,0.0,54,2000
15763,1.4,54,2000
15764,1.4,54,2000
15765,0.0,53,2000
15766,1.4,53,2000
15767,2.7,54,2000
15768,0.0,53,2000
15769,1.4,52,2000
15770,0.0,54,2000
15771,0.0,53,2000
15772,0.0,53,2000
15773,0.0,53,2000
15774,1.4,52,2000
15775,0.0,52,2000
15776,1.4,52,2000
15777,0.0,53,2000
15778,0.0,52,2000
15779,1.4,53,2000
15780,1.4,52,2000
15781,0.0,53,2000
15782,1.4,53,2000
15783,1.4,53,2000
15784,1.4,53,2000
15785,0.0,53,2000
15786,1.4,52,2000
15787,1.4,51,2000
15788,1.3,53,2000
15789,1.4,53,2000
15790,1.4,53,2000
15791,1.4,53,2000
15792,1.4,53,2000
15793,0.0,52,2000
15794,0.0,53,2000
15795,0.0,53,2000
15796,0.0,53,2000
15797,1.4,52,2000
15798,1.4,53,2000
15799,1.4,52,2000
15800,1.4,53,2000
15801,1.4,52,2000
15802,1.4,53,2000
15803,0.0,53,2000
15804,1.3,52,2000
15805,0.0,52,2000
15806,2.7,52,2000
15807,1.4,53,2000
15808,0.0,53,2000
15809,0.0,54,2000
15810,1.4,53,2000
15811,0.0,53,2000
15812,0.0,53,2000
15813,0.0,53,2000
15814,0.0,52,2000
15815,5.4,53,2000
15816,1.3,53,2000
15817,2.7,52,2000
15818,1.4,53,2000
15819,0.0,52,2000
15820,1.4,53,2000
15821,1.4,52,2000
15822,1.4,52,2000
15823,1.4,52,2000
15824,1.4,52,2000
15825,0.0,53,2000
15826,0.0,52,2000
15827,2.7,51,2000
15828,0.0,52,2000
15829,0.0,52,2000
15830,1.4,52,2000
15831,0.0,52,2000
15832,0.0,52,2000
15833,1.4,53,2000
15834,1.4,52,2000
15835,1.4,52,2000
15836,1.4,53,2000
15837,1.4,52,2000
15838,0.0,52,2000
15839,0.0,53,2000
15840,1.4,52,2000
15841,1.4,53,2000
15842,1.4,52,2000
15843,0.0,51,2000
15844,0.0,52,2000
15845,1.4,52,2000
15846,0.0,52,2000
15847,0.0,52,2000
15848,1.4,52,2000
15849,0.0,53,2000
15850,1.4,52,2000
15851,0.0,52,2000
15852,1.4,53,2000
15853,0.0,52,2000
15854,1.4,51,2000
15855,0.0,51,2000
15856,1.4,52,2000
15857,1.3,52,2000
15858,1.4,52,2000
15859,1.4,52,2000
15860,0.0,52,2000
15861,2.8,50,2000
15862,1.4,51,2000
15863,1.4,52,2000
15864,2.7,51,2000
15865,0.0,51,2000
15866,0.0,52,2000
15867,0.0,53,2000
15868,2.7,53,2000
15869,0.0,52,2000
15870,1.4,52,2000
15871,0.0,52,2000
15872,1.4,52,2000
15873,1.4,51,2000
15874,1.4,52,2000
15875,1.4,53,2000
15876,0.0,52,2000
15877,1.4,52,2000
15878,1.4,51,2000
15879,1.4,52,2000
15880,1.4,52,2000
15881,0.0,51,2000
15882,1.4,52,2000
15883,1.4,52,2000
15884,1.4,52,2000
15885,1.4,51,2000
15886,1.4,51,2000
15887,0.0,51,2000
15888,0.0,52,2000
15889,0.0,51,2000
15890,0.0,52,2000
15891,2.8,52,2000
15892,2.7,52,2000
15893,1.4,50,2000
15894,0.0,51,2000
15895,1.4,51,2000
15896,1.4,51,2000
15897,0.0,52,2000
15898,0.0,52,2000
15899,0.0,50,2000
15900,0.0,51,2000
15901,1.4,52,2000
15902,0.0,52,2000
15903,1.4,52,2000
15904,1.4,52,2000
15905,0.0,52,2000
15906,1.4,52,2000
15907,0.0,51,2000
15908,0.0,52,2000
15909,1.4,51,2000
15910,1.4,51,2000
15911,1.4,51,2000
15912,1.4,50,2000
15913,1.4,51,2000
15914,0.0,53,2000
15915,0.0,51,2000
15916,1.4,51,2000
15917,1.4,51,2000
15918,0.0,52,2000
15919,1.4,51,2000
15920,1.4,52,2000
15921,1.4,51,2000
15922,1.4,50,2000
15923,1.4,51,2000
15924,0.0,51,2000
15925,0.0,51,2000
15926,0.0,51,2000
15927,0.0,51,2000
15928,0.0,50,2000
15929,2.7,50,2000
15930,2.8,51,2000
15931,1.4,51,2000
15932,0.0,51,2000
15933,1.4,51,2000
15934,1.4,51,2000
15935,1.4,51,2000
15936,1.4,51,2000
15937,1.4,51,2000
15938,0.0,52,2000
15939,0.0,51,2000
15940,0.0,50,2000
15941,2.7,51,2000
15942,0.0,51,2000
15943,1.4,51,2000
15944,0.0,51,2000
15945,0.0,51,2000
15946,1.4,51,2000
15947,1.4,51,2000
15948,2.7,51,2000
